DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Mar-2024,EQ,"2,927.00","3,000.00","2,925.00","2,921.60","2,977.00","2,984.25","2,966.96","3,000.00","2,220.30",6066463,"17,99,89,57,520.55",272154
29-Feb-2024,EQ,"2,930.00","2,957.95","2,909.05","2,911.25","2,930.75","2,921.60","2,927.13","2,999.90","2,220.30",11814488,"34,58,24,93,286.65",298691
28-Feb-2024,EQ,"2,966.00","2,982.55","2,900.35","2,971.30","2,915.00","2,911.25","2,931.01","2,999.90","2,220.30",4323975,"12,67,36,07,274.50",216192
27-Feb-2024,EQ,"2,966.05","2,999.90","2,956.10","2,974.65","2,971.00","2,971.30","2,974.38","2,999.90","2,220.30",5413022,"16,10,04,08,443.55",197414
26-Feb-2024,EQ,"2,987.10","2,989.05","2,965.00","2,987.25","2,975.10","2,974.65","2,974.31","2,995.10","2,220.30",3756553,"11,17,31,63,735.60",141799
23-Feb-2024,EQ,"2,979.00","2,995.10","2,966.70","2,963.50","2,986.55","2,987.25","2,982.96","2,995.10","2,220.30",7219292,"21,53,48,40,027.25",255210
22-Feb-2024,EQ,"2,936.30","2,969.90","2,916.00","2,935.40","2,962.20","2,963.50","2,944.65","2,977.05","2,220.30",9246864,"27,22,87,62,576.20",273105
21-Feb-2024,EQ,"2,948.00","2,977.05","2,915.10","2,942.05","2,932.05","2,935.40","2,949.30","2,977.05","2,220.30",6360146,"18,75,79,66,311.65",289896
20-Feb-2024,EQ,"2,950.05","2,951.00","2,923.60","2,948.00","2,941.45","2,942.05","2,937.06","2,969.45","2,220.30",3558748,"10,45,22,64,180.75",172812
19-Feb-2024,EQ,"2,924.10","2,959.00","2,907.05","2,921.15","2,940.00","2,948.00","2,934.52","2,969.45","2,220.30",3364914,"9,87,43,95,305.15",143935
16-Feb-2024,EQ,"2,952.95","2,954.00","2,917.10","2,941.20","2,925.00","2,921.15","2,932.13","2,969.45","2,220.30",4883749,"14,31,97,75,078.35",170212
15-Feb-2024,EQ,"2,966.70","2,969.45","2,933.05","2,962.75","2,944.50","2,941.20","2,946.03","2,969.45","2,220.30",5003391,"14,74,01,28,065.85",236768
14-Feb-2024,EQ,"2,915.00","2,967.30","2,915.00","2,930.20","2,963.60","2,962.75","2,943.59","2,967.30","2,220.30",3558944,"10,47,60,84,977.75",200869
13-Feb-2024,EQ,"2,911.00","2,958.00","2,908.00","2,904.70","2,926.20","2,930.20","2,934.72","2,958.00","2,220.30",3857797,"11,32,15,54,002.65",178755
12-Feb-2024,EQ,"2,921.50","2,922.00","2,884.70","2,921.50","2,904.00","2,904.70","2,900.64","2,949.80","2,220.30",3337215,"9,68,00,50,427.50",170350
09-Feb-2024,EQ,"2,908.00","2,943.95","2,901.90","2,900.25","2,917.30","2,921.50","2,924.38","2,949.80","2,220.30",6278399,"18,36,04,29,342.90",248252
08-Feb-2024,EQ,"2,900.00","2,918.95","2,855.05","2,884.30","2,916.00","2,900.25","2,882.90","2,949.80","2,220.30",7347317,"21,18,16,03,384.90",320055
07-Feb-2024,EQ,"2,871.85","2,899.00","2,858.50","2,855.60","2,885.00","2,884.30","2,876.04","2,949.80","2,220.30",4648284,"13,36,86,50,630.75",228951
06-Feb-2024,EQ,"2,883.70","2,883.70","2,839.65","2,878.05","2,854.75","2,855.60","2,859.49","2,949.80","2,220.30",4523992,"12,93,63,28,247.70",240512
05-Feb-2024,EQ,"2,921.50","2,941.00","2,863.05","2,915.40","2,879.45","2,878.05","2,907.30","2,949.80","2,220.30",4407216,"12,81,31,04,310.25",197343
02-Feb-2024,EQ,"2,866.35","2,949.80","2,866.35","2,853.30","2,913.00","2,915.40","2,913.44","2,949.80","2,220.30",9826294,"28,62,83,19,858.85",420949
01-Feb-2024,EQ,"2,870.00","2,886.70","2,836.10","2,853.25","2,851.50","2,853.30","2,857.88","2,919.95","2,220.30",6674681,"19,07,54,09,129.85",259110
31-Jan-2024,EQ,"2,808.00","2,868.50","2,805.00","2,815.25","2,850.00","2,853.25","2,847.99","2,919.95","2,220.30",7565113,"21,54,54,02,809.00",343623
30-Jan-2024,EQ,"2,919.90","2,919.95","2,808.85","2,896.10","2,818.25","2,815.25","2,854.34","2,919.95","2,220.30",7046989,"20,11,45,36,190.80",314728
29-Jan-2024,EQ,"2,729.00","2,905.00","2,720.35","2,706.15","2,890.10","2,896.10","2,842.26","2,905.00","2,220.30",11946719,"33,95,56,52,629.40",464414
25-Jan-2024,EQ,"2,685.90","2,728.30","2,670.40","2,687.75","2,711.00","2,706.15","2,697.07","2,792.90","2,220.30",5904436,"15,92,46,81,035.80",199408
24-Jan-2024,EQ,"2,670.45","2,699.00","2,647.85","2,657.15","2,694.90","2,687.75","2,664.32","2,792.90","2,220.30",10959564,"29,19,98,12,068.10",253093
23-Jan-2024,EQ,"2,743.50","2,743.50","2,645.10","2,713.30","2,656.75","2,657.15","2,674.90","2,792.90","2,220.30",10027710,"26,82,30,81,585.30",337484
20-Jan-2024,EQ,"2,730.00","2,766.95","2,700.00","2,734.90","2,716.00","2,713.30","2,734.20","2,792.90","2,220.30",3641697,"9,95,71,10,928.55",128579
