DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Feb-2025,EQ,"1,202.00","1,217.35","1,193.30","1,207.10","1,198.00","1,200.10","1,205.62","3,217.60","1,193.30",23007298,"27,73,81,25,737.60",355378
27-Feb-2025,EQ,"1,212.80","1,215.00","1,200.65","1,204.00","1,208.00","1,207.10","1,206.31","3,217.60","1,193.35",11509215,"13,88,36,37,029.45",236188
25-Feb-2025,EQ,"1,211.00","1,221.00","1,201.50","1,214.55","1,202.00","1,204.00","1,209.60","3,217.60","1,193.35",11552182,"13,97,34,92,939.80",213192
24-Feb-2025,EQ,"1,216.55","1,223.25","1,210.50","1,228.15","1,215.00","1,214.55","1,215.90","3,217.60","1,193.35",7172498,"8,72,10,21,715.35",200264
21-Feb-2025,EQ,"1,228.70","1,240.00","1,222.15","1,233.00","1,226.90","1,228.15","1,231.37","3,217.60","1,193.35",6904025,"8,50,13,82,497.70",213824
20-Feb-2025,EQ,"1,223.95","1,239.35","1,222.00","1,227.45","1,232.00","1,233.00","1,233.94","3,217.60","1,193.35",7795582,"9,61,92,77,166.50",162561
19-Feb-2025,EQ,"1,219.50","1,232.75","1,217.55","1,225.40","1,226.30","1,227.45","1,226.67","3,217.60","1,193.35",6217338,"7,62,66,01,753.25",178165
18-Feb-2025,EQ,"1,224.85","1,229.90","1,216.10","1,224.90","1,223.95","1,225.40","1,223.94","3,217.60","1,193.35",6673250,"8,16,76,61,853.95",181273
17-Feb-2025,EQ,"1,211.10","1,227.50","1,204.50","1,217.25","1,225.45","1,224.90","1,219.62","3,217.60","1,193.35",8166683,"9,96,02,41,446.85",220670
14-Feb-2025,EQ,"1,219.00","1,224.00","1,205.45","1,216.10","1,214.75","1,217.25","1,215.10","3,217.60","1,193.35",10298145,"12,51,32,77,266.75",202314
13-Feb-2025,EQ,"1,217.05","1,228.00","1,212.00","1,216.55","1,216.20","1,216.10","1,219.60","3,217.60","1,193.35",8511216,"10,38,02,76,762.25",266249
12-Feb-2025,EQ,"1,219.45","1,226.90","1,193.35","1,234.85","1,217.05","1,216.55","1,211.39","3,217.60","1,193.35",21131654,"25,59,86,19,531.25",404276
11-Feb-2025,EQ,"1,264.55","1,264.55","1,230.10","1,253.65","1,237.55","1,234.85","1,244.26","3,217.60","1,201.50",8859714,"11,02,37,57,522.95",240683
10-Feb-2025,EQ,"1,264.50","1,266.50","1,245.55","1,266.70","1,254.65","1,253.65","1,251.52","3,217.60","1,201.50",6970972,"8,72,42,86,360.55",173316
07-Feb-2025,EQ,"1,276.15","1,283.70","1,262.00","1,281.55","1,266.50","1,266.70","1,270.98","3,217.60","1,201.50",8764283,"11,13,92,40,963.05",174531
06-Feb-2025,EQ,"1,273.70","1,288.00","1,270.35","1,278.20","1,283.00","1,281.55","1,279.27","3,217.60","1,201.50",9956001,"12,73,63,85,821.45",217888
05-Feb-2025,EQ,"1,282.65","1,290.50","1,276.70","1,285.20","1,278.50","1,278.20","1,281.97","3,217.60","1,201.50",10112028,"12,96,33,36,513.05",219550
04-Feb-2025,EQ,"1,248.05","1,288.80","1,246.60","1,245.90","1,282.90","1,285.20","1,273.65","3,217.60","1,201.50",16691069,"21,25,84,96,964.75",323415
03-Feb-2025,EQ,"1,251.00","1,256.00","1,237.55","1,264.60","1,247.00","1,245.90","1,247.14","3,217.60","1,201.50",9252345,"11,53,89,63,041.00",268425
01-Feb-2025,EQ,"1,265.10","1,270.55","1,241.00","1,265.10","1,264.00","1,264.60","1,260.42","3,217.60","1,201.50",7118453,"8,97,22,48,877.35",143258
31-Jan-2025,EQ,"1,255.85","1,267.00","1,249.00","1,253.05","1,266.00","1,265.10","1,261.32","3,217.60","1,201.50",6584612,"8,30,52,91,978.45",169481
30-Jan-2025,EQ,"1,235.55","1,257.00","1,232.40","1,235.50","1,253.15","1,253.05","1,249.15","3,217.60","1,201.50",9269259,"11,57,86,93,152.95",227871
29-Jan-2025,EQ,"1,236.00","1,242.75","1,228.05","1,234.40","1,237.25","1,235.50","1,236.66","3,217.60","1,201.50",5928156,"7,33,11,19,895.80",167073
28-Jan-2025,EQ,"1,238.00","1,244.75","1,218.50","1,229.35","1,235.00","1,234.40","1,232.65","3,217.60","1,201.50",10568025,"13,02,66,73,067.35",286863
27-Jan-2025,EQ,"1,239.10","1,240.45","1,220.00","1,246.30","1,229.00","1,229.35","1,229.35","3,217.60","1,201.50",9536019,"11,72,31,27,883.65",368025
24-Jan-2025,EQ,"1,266.00","1,273.00","1,243.50","1,263.65","1,244.45","1,246.30","1,252.27","3,217.60","1,201.50",14235970,"17,82,72,72,395.00",263461
23-Jan-2025,EQ,"1,270.00","1,277.35","1,261.60","1,277.10","1,264.90","1,263.65","1,267.52","3,217.60","1,201.50",8720682,"11,05,36,24,692.80",188421
22-Jan-2025,EQ,"1,278.30","1,282.90","1,268.70","1,273.70","1,278.00","1,277.10","1,276.09","3,217.60","1,201.50",10273590,"13,11,00,04,094.65",239816
21-Jan-2025,EQ,"1,310.50","1,313.00","1,270.20","1,305.45","1,277.60","1,273.70","1,284.79","3,217.60","1,201.50",14562976,"18,71,03,66,859.10",325783
20-Jan-2025,EQ,"1,316.00","1,316.00","1,300.25","1,302.35","1,304.00","1,305.45","1,307.82","3,217.60","1,201.50",14040244,"18,36,20,47,246.70",280553
17-Jan-2025,EQ,"1,322.25","1,326.00","1,285.00","1,266.45","1,300.00","1,302.35","1,300.80","3,217.60","1,201.50",29366277,"38,19,97,28,794.40",594018
16-Jan-2025,EQ,"1,258.90","1,275.00","1,251.30","1,252.20","1,275.00","1,266.45","1,262.86","3,217.60","1,201.50",14117603,"17,82,84,86,685.90",207451
15-Jan-2025,EQ,"1,244.95","1,257.00","1,241.85","1,238.75","1,252.00","1,252.20","1,250.11","3,217.60","1,201.50",9578856,"11,97,46,00,753.05",220174
14-Jan-2025,EQ,"1,244.10","1,253.35","1,227.25","1,239.85","1,239.00","1,238.75","1,236.46","3,217.60","1,201.50",13095266,"16,19,17,65,836.20",278977
13-Jan-2025,EQ,"1,230.00","1,245.25","1,226.40","1,241.90","1,240.75","1,239.85","1,238.10","3,217.60","1,201.50",13764861,"17,04,22,74,859.85",398257
10-Jan-2025,EQ,"1,253.85","1,256.75","1,236.00","1,254.75","1,245.55","1,241.90","1,245.97","3,217.60","1,201.50",8120332,"10,11,76,85,547.70",340024
09-Jan-2025,EQ,"1,267.00","1,269.75","1,248.05","1,265.50","1,256.80","1,254.75","1,257.46","3,217.60","1,201.50",12794704,"16,08,88,82,554.20",390501
08-Jan-2025,EQ,"1,249.00","1,271.05","1,245.35","1,240.85","1,261.35","1,265.50","1,263.24","3,217.60","1,201.50",19346579,"24,43,93,45,120.55",531488
07-Jan-2025,EQ,"1,222.00","1,244.50","1,221.25","1,218.00","1,239.95","1,240.85","1,237.63","3,217.60","1,201.50",10070505,"12,46,35,97,633.45",216620
06-Jan-2025,EQ,"1,253.95","1,262.00","1,215.00","1,251.15","1,216.25","1,218.00","1,235.67","3,217.60","1,201.50",14816766,"18,30,86,52,263.95",317843
03-Jan-2025,EQ,"1,243.90","1,262.05","1,235.50","1,241.80","1,249.85","1,251.15","1,250.34","3,217.60","1,201.50",15521102,"19,40,67,15,598.75",277290
02-Jan-2025,EQ,"1,221.25","1,244.45","1,220.00","1,221.25","1,240.55","1,241.80","1,234.32","3,217.60","1,201.50",15486276,"19,11,50,27,208.35",271108
01-Jan-2025,EQ,"1,214.85","1,226.30","1,211.60","1,215.45","1,222.75","1,221.25","1,221.01","3,217.60","1,201.50",5892590,"7,19,48,99,836.45",138528
31-Dec-2024,EQ,"1,208.00","1,219.10","1,206.15","1,210.70","1,216.40","1,215.45","1,213.08","3,217.60","1,201.50",6405475,"7,77,03,38,353.90",180916
30-Dec-2024,EQ,"1,216.40","1,223.20","1,208.10","1,221.05","1,211.50","1,210.70","1,214.71","3,217.60","1,201.50",8818766,"10,71,22,29,377.50",308317
27-Dec-2024,EQ,"1,218.30","1,227.90","1,217.00","1,216.55","1,221.50","1,221.05","1,223.20","3,217.60","1,201.50",7000397,"8,56,28,95,530.20",174882
26-Dec-2024,EQ,"1,224.25","1,227.70","1,214.25","1,222.75","1,217.00","1,216.55","1,219.74","3,217.60","1,201.50",10016178,"12,21,71,76,986.80",256436
24-Dec-2024,EQ,"1,222.30","1,233.55","1,221.00","1,222.30","1,224.20","1,222.75","1,227.14","3,217.60","1,201.50",6734917,"8,26,46,75,853.25",207746
23-Dec-2024,EQ,"1,215.00","1,227.20","1,213.20","1,205.30","1,223.85","1,222.30","1,219.77","3,217.60","1,201.50",10052824,"12,26,20,91,651.05",258756
20-Dec-2024,EQ,"1,224.00","1,239.50","1,201.50","1,230.45","1,206.00","1,205.30","1,215.95","3,217.60","1,201.50",20312896,"24,69,94,97,247.50",499900
19-Dec-2024,EQ,"1,239.00","1,244.90","1,229.00","1,253.25","1,230.50","1,230.45","1,235.73","3,217.60","1,217.25",14244653,"17,60,25,40,036.00",503893
18-Dec-2024,EQ,"1,240.65","1,259.95","1,240.65","1,245.30","1,254.35","1,253.25","1,252.58","3,217.60","1,217.25",12670179,"15,87,03,98,087.10",266155
17-Dec-2024,EQ,"1,261.05","1,263.90","1,242.80","1,268.30","1,244.70","1,245.30","1,249.22","3,217.60","1,217.25",17462791,"21,81,47,94,516.85",481698
16-Dec-2024,EQ,"1,275.00","1,281.00","1,266.55","1,272.85","1,268.40","1,268.30","1,271.94","3,217.60","1,217.25",9486781,"12,06,66,29,924.30",224571
13-Dec-2024,EQ,"1,260.00","1,275.20","1,239.60","1,262.90","1,274.45","1,272.85","1,257.50","3,217.60","1,217.25",28630222,"36,00,26,21,429.30",482467
12-Dec-2024,EQ,"1,270.00","1,278.20","1,260.60","1,278.20","1,261.30","1,262.90","1,265.58","3,217.60","1,217.25",20906813,"26,45,91,66,488.55",363205
11-Dec-2024,EQ,"1,285.00","1,290.00","1,276.05","1,284.85","1,279.00","1,278.20","1,282.33","3,217.60","1,217.25",11724373,"15,03,44,57,832.65",272365
10-Dec-2024,EQ,"1,289.25","1,294.90","1,280.20","1,295.15","1,285.95","1,284.85","1,286.46","3,217.60","1,217.25",16043729,"20,63,95,94,557.20",456341
09-Dec-2024,EQ,"1,303.00","1,315.00","1,293.10","1,311.55","1,296.40","1,295.15","1,304.10","3,217.60","1,217.25",14650002,"19,10,51,10,924.90",202850
06-Dec-2024,EQ,"1,323.90","1,323.90","1,310.00","1,322.05","1,311.60","1,311.55","1,314.49","3,217.60","1,217.25",9037514,"11,87,97,01,933.90",193736
05-Dec-2024,EQ,"1,314.35","1,329.95","1,306.15","1,308.95","1,320.90","1,322.05","1,319.78","3,217.60","1,217.25",16858723,"22,24,98,86,629.55",309667
04-Dec-2024,EQ,"1,326.00","1,328.40","1,304.05","1,323.30","1,309.50","1,308.95","1,310.74","3,217.60","1,217.25",19608540,"25,70,17,43,568.80",250873
03-Dec-2024,EQ,"1,317.00","1,326.80","1,307.00","1,309.15","1,325.05","1,323.30","1,320.68","3,217.60","1,217.25",16869482,"22,27,92,47,257.55",349204
02-Dec-2024,EQ,"1,288.00","1,311.35","1,277.05","1,292.20","1,310.60","1,309.15","1,298.60","3,217.60","1,217.25",11024152,"14,31,59,72,962.55",272825
